# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.2066782595103653,4.716116440779891,-90.85575799791606,0,3.0,-0.0024946803974095957,-178.75463573323165,0.0,-0.0006286304972899836
 0.07820868352494759,2.206541230223542,4.706942566851502,-90.85575799791606,0.2346260505748428,3.0000000000000004,-0.0024946803974095957,-178.75468489759527,-0.04050407216556073,-0.004558779488824121
 0.11056061622225906,2.20640420532168,4.697783014204318,-90.85706838293274,0.33168184866677725,3.0000000000000013,-0.002466597666930578,-178.75483238292247,-0.05217233039382493,-0.009912654504579706
 0.1353554883777072,2.2062671891897385,4.688637852997707,-90.85836198919489,0.4060664651331216,2.9999999999999982,-0.0024383560252365668,-178.75507816592363,-0.06115400866538833,-0.01647861952189045
 0.15623356391596172,2.2061301862126785,4.679507153391038,-90.85963876720729,0.4687006917478852,3.0000000000000013,-0.0024099437367455607,-178.75542220778678,-0.06857762077225353,-0.024071930498823807
 0.17460543471114093,2.205993200775462,4.670390985543682,-90.86089866639556,0.5238163041334228,3.0,-0.0023813560899744977,-178.7558644541837,-0.07492558784184393,-0.03257392637752894
 0.19119481016927212,2.2058562372630472,4.661289419615006,-90.86214163510368,0.5735844305078164,2.9999999999999982,-0.002352603844187905,-178.75640483527852,-0.08046132894150607,-0.041900142067596215
 0.20643176233343807,2.205719300060396,4.6522025257643795,-90.86336762052383,0.6192952870003142,2.9999999999999982,-0.002323658741451808,-178.75704326573887,-0.08534850904835453,-0.05198638760118971
 0.22059660517565938,2.205582393552468,4.6431303741511725,-90.86457656874133,0.6617898155269781,3.0,-0.002294547467540727,-178.75777964474918,-0.08969748583105451,-0.06278162626349665
 0.23388411184052554,2.205445522124226,4.634073034934754,-90.86576842468212,0.7016523355215766,2.999999999999996,-0.0022652326475148606,-178.75861385602659,-0.09358704552524258,-0.07424390791734022
 0.24643614256058038,2.2053086901606282,4.625030578274491,-90.86694313215256,0.7393084276817411,3.0,-0.0022357416147095292,-178.75954576783954,-0.09707584845161032,-0.08633785697989635
 0.2583598249957895,2.205171902046636,4.616003074329755,-90.86810063374162,0.7750794749873684,2.9999999999999907,-0.002206052449978105,-178.7605752330283,-0.10020901947413752,-0.09903302668109634
 0.269738412906221,2.205035162167211,4.606990593259913,-90.86924087087912,0.809215238718663,3.000000000000005,-0.0021761766406095183,-178.76170208902843,-0.10302217136901866,-0.11230277022863872
 0.2806381339492895,2.2048984749073117,4.597993205224336,-90.87036378380829,0.8419144018478684,3.0,-0.0021460822104115576,-178.7629261578963,-0.1055439990202127,-0.12612343769456674
 0.29111270128649686,2.2047618446518995,4.58901098038239,-90.87146931153308,0.8733381038594905,3.0000000000000053,-0.002115789263472304,-178.76424724633722,-0.10779802870598663,-0.14047378717456022
 0.3012063951159413,2.204625275785937,4.580043988893449,-90.87255739183026,0.9036191853478238,3.0000000000000053,-0.002085282654031943,-178.76566514573602,-0.10980383117435025,-0.15533454214253925
 0.3109562320358203,2.204488772694381,4.571092300916877,-90.87362796127736,0.9328686961074608,2.9999999999999942,-0.0020545650472841657,-178.76717963218994,-0.11157787134368978,-0.17068805155219258
 0.3203935320661848,2.2043523397621945,4.562155986612047,-90.874680955126,0.9611805961985544,3.0000000000000058,-0.0020236298639695577,-178.76879046654403,-0.11313416404080094,-0.18651802404191292
 0.3295450759644627,2.2042159813743387,4.5532351161383255,-90.8757163073946,0.9886352278933881,3.0,-0.0019924701463778158,-178.77049739442887,-0.11448473392238544,-0.20280931682785736
 0.33843397663271124,2.204079701915772,4.544329759655082,-90.87673395082248,1.0153019298981336,2.9999999999999876,-0.0019610885658783634,-178.77230014630075,-0.11563997251850232,-0.21954776565590517
 0.3470803464913283,2.203943505771456,4.535439987321685,-90.87773381679531,1.0412410394739848,3.000000000000006,-0.0019294676916918102,-178.77419843748424,-0.11660893296964958,-0.23672004618980919
 0.3555018163460204,2.203807397326352,4.526565869297505,-90.87871583540911,1.066505449038061,2.99999999999998,-0.0018976202067770066,-178.77619196821723,-0.1173995366787676,-0.254313559738766
 0.3637139442518415,2.203671380965419,4.51770747574191,-90.8796799354204,1.0911418327555242,2.9999999999999933,-0.001865517242085293,-178.778280423698,-0.11801874736892884,-0.2723163382746332
 0.37173054160727254,2.203535461073619,4.50886487681427,-90.88062604419844,1.1151916248218172,2.9999999999999862,-0.001833182341027334,-178.78046347413525,-0.11847272149115563,-0.2907169645964707
 0.37956393608428407,2.2033996420359117,4.5000381426739535,-90.88155408776065,1.1386918082528517,2.9999999999999787,-0.0018005853273650452,-178.7827407748001,-0.1187669112310078,-0.30950450484216147
 0.38722518573675957,2.2032639282372584,4.491227343480329,-90.88246399071804,1.1616755572102784,3.000000000000029,-0.001767727852942188,-178.78511196608025,-0.1189061648931346,-0.3286684510591153
 0.39472425493237745,2.203128324062619,4.482432549392766,-90.88335567627637,1.184172764797132,3.0000000000000075,-0.0017346237662308986,-178.78757667353716,-0.11889479943299733,-0.34819867186219355
 0.40207016011378105,2.2029928338969538,4.473653830570634,-90.88422906619955,1.206210480341343,3.0000000000000075,-0.001701240221167538,-178.79013450796495,-0.11873666751666763,-0.3680853699450244
 0.4092710914830761,2.2028574621252246,4.4648912571733,-90.88508408079338,1.227813274449228,2.9999999999999925,-0.0016676032294787029,-178.79278506545197,-0.11843521553786883,-0.3883190451895145
